alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res,std_res,best_time,mean_time,best_iter,mean_iter
1,4,100,10,10,0.2,1,0.1,2662.0,2685.6,28.3450171988,113.68051528930664,216.3957232,100.0,176.8
1,4,100,10,10,0.2,2,0.1,2668.0,2701.4,24.187600129,196.34590888023376,184.888449907,154.0,145.2
1,4,100,1,10,0.2,1,0.1,2725.0,2766.2,45.4726291301,117.5065987110138,102.273652887,92.0,79.8
1,4,100,1,10,0.2,2,0.1,2715.0,2782.0,38.147083768,96.16244912147522,94.0812743664,75.0,73.4
1,4,50,5,10,0.2,1,0.1,2663.0,2712.0,40.4326600658,58.23005557060242,117.691782522,91.0,185.6
1,4,50,1,10,0.2,2,0.1,2727.0,2810.2,49.272304594,55.41440725326538,58.1633173943,87.0,91.2
1,4,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,2913.0,2950.4,30.3354578011,13.300631284713745,14.0658506393,109.0,114.6
1,4,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,2808.0,2853.0,45.0199955575,21.10049533843994,17.9219484329,161.0,136.6
1,4,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,2812.0,2903.0,58.3026586015,16.30182671546936,17.0100466728,130.0,135.0
1,4,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,2928.0,3018.4,54.5622580178,7.485183238983154,8.03347783089,57.0,61.2
1,4,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,2810.0,2965.6,87.6141541077,8.641847133636475,10.7312004089,68.0,84.6
1,4,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,2774.0,2856.2,78.3846923831,14.207129716873169,27.6415324211,126.0,245.8
2,5,100,10,10,0.2,1,0.1,2668.0,2731.6,49.721625074,165.82824063301086,338.198335886,130.0,266.6
2,5,100,10,10,0.2,2,0.1,2718.0,2785.2,47.5327255688,505.73954677581787,194.611399603,400.0,153.0
2,5,100,1,10,0.2,1,0.1,2668.0,2779.4,66.9196533165,63.181485652923584,75.4644815445,49.0,58.8
2,5,100,1,10,0.2,2,0.1,2740.0,2824.8,66.4391450878,60.256765365600586,69.5135205746,47.0,54.4
2,5,50,5,10,0.2,1,0.1,2741.0,2805.4,59.7949830671,46.545400857925415,89.639589262,74.0,143.4
2,5,50,1,10,0.2,2,0.1,2776.0,2902.2,63.568545681,31.04789113998413,32.1684230804,49.0,50.8
2,5,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,2955.0,3055.4,83.4903587248,7.262296915054321,7.61170325279,59.0,62.0
2,5,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,2759.0,2876.0,84.4866853415,10.625415563583374,11.3892093658,81.0,86.8
2,5,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,2926.0,3006.2,48.7704828764,7.323343276977539,7.64141626358,58.0,60.6
2,5,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,2881.0,3041.0,86.0232526704,5.380424737930298,5.96804223061,41.0,45.6
2,5,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,2904.0,2981.8,60.3436823537,18.704717874526978,9.54484176636,150.0,76.0
2,5,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,2908.0,2958.4,38.696769891,7.965388059616089,10.7435524464,71.0,96.0
3,8,100,10,10,0.2,1,0.1,2782.0,2813.0,43.9545219517,349.6610472202301,340.956374311,275.0,270.2
3,8,100,10,10,0.2,2,0.1,2761.0,2792.8,35.7681422498,150.99513363838196,239.998317385,118.0,188.8
3,8,100,1,10,0.2,1,0.1,2678.0,2732.8,38.4884398229,76.6692943572998,72.0699165344,60.0,56.2
3,8,100,1,10,0.2,2,0.1,2741.0,2786.2,31.108841187,52.644816637039185,59.5129241467,41.0,46.4
3,8,50,5,10,0.2,1,0.1,2758.0,2820.0,41.7037168607,36.68948483467102,183.451484537,57.0,291.2
3,8,50,1,10,0.2,2,0.1,2734.0,2826.4,62.0148369344,35.39644002914429,37.7150593281,55.0,58.6
3,8,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,2890.0,2975.4,72.2401550386,13.501458168029785,7.82447156906,108.0,62.2
3,8,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,2811.0,2920.4,78.9648022856,36.74012112617493,11.9707419872,276.0,89.0
3,8,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,2860.0,3005.0,90.9725233244,6.357386350631714,5.98999538422,49.0,46.6
3,8,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,2920.0,2974.8,45.3007726203,5.829661846160889,5.3411904335,44.0,40.2
3,8,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,2819.0,2925.4,67.9488042573,4.780092716217041,4.95752296448,37.0,38.4
3,8,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,2773.0,2924.2,83.6693492266,8.441760778427124,11.9635622025,74.0,105.0
1,1,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,4490.0,4589.6,81.0298710353,11.96028733253479,12.8463534355,99.0,106.4
1,1,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,3839.0,3975.8,97.4338750127,20.63727569580078,21.2678517342,159.0,164.0
1,1,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,4266.0,4543.6,250.939514625,14.94455623626709,13.6968050957,121.0,110.2
1,1,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,5182.0,5457.0,242.94690778,10.227223634719849,9.40436038971,80.0,73.6
1,1,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,4310.0,4659.4,215.994073993,13.34914231300354,12.7287491322,108.0,102.8
1,1,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,3734.0,3888.4,90.0257740872,20.176166534423828,23.2847409725,184.0,212.2
1,0,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,8662.0,8932.6,300.444737015,47.68407416343689,44.6845448494,400.0,375.4
1,0,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,10814.0,11676.6,479.338127004,50.91714072227478,50.9371640682,400.0,400.0
1,0,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,8863.0,9328.2,377.267226247,48.71308183670044,48.7644122601,400.0,400.0
1,0,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,10362.0,10873.4,336.359093827,25.187325477600098,22.7048885822,200.0,180.2
1,0,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,8308.0,8873.2,571.25875048,48.58682870864868,44.5138573647,400.0,365.4
1,0,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,8962.0,9425.0,437.786249213,43.579795837402344,43.4698003769,400.0,400.0
