alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res
PROBLEM 1 (Nicos optimum: 3632),,,,,,,,,
1,4,100,10,10,0.2,2,0.1,3642.0,3696.0
1,4,100,10,10,0.2,1,0.1,3670.0,3730.4
1,4,50,5,10,0.2,1,0.1,3724.0,3766.8
2,5,100,10,10,0.2,2,0.1,3740.0,3777.2
PROBLEM 2 (Nicos Optimum: 2878),,,,,,,,,
1,4,100,10,10,0.2,2,0.1,2918.0,2943.4
1,4,100,10,10,0.2,1,0.1,2904.0,2947.2
1,4,50,5,10,0.2,1,0.1,2902.0,2960.2
3,8,100,1,10,0.2,1,0.1,2948.0,2966.6
PROBLEM 3 (Nicos Optimum: 2617),,,,,,,,,
1,4,100,10,10,0.2,1,0.1,2662.0,2685.6
1,4,100,10,10,0.2,2,0.1,2668.0,2701.4
1,4,50,5,10,0.2,1,0.1,2663.0,2712.0
2,5,100,10,10,0.2,1,0.1,2668.0,2731.6
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res
,,,,,,,,,
SET 1,,,,,,,,,
1,1,10,1,5,0.2481744664252858,1.833620265760508,0.07569152099335698,5980.0,6336.4
1,1,10,1,7,0.12496110549972515,1.0204588226130094,0.14532872879728143,4874.0,5020.4
1,1,10,1,5,0.31749275919102077,2.189796460167292,0.11908492294377128,7100.0,7409.6
1,1,10,1,7,0.19576987253640127,1.1564565146156647,0.12137621690119409,5564.0,5947.6
1,1,10,1,6,0.29580527737767504,2.1406730883120133,0.0712517966615102,6604.0,6946.8
1,1,10,1,2,0.3045961150232153,1.0763409543565243,0.24911676806706984,7314.0,7862.8
1,1,10,1,9,0.16188081861893316,1.9603189244657104,0.23826703514740455,5272.0,6006.93333333
1,1,10,1,2,0.17773719223513595,1.5007425892390436,0.2527369278766994,5850.0,6357.8
1,1,10,1,7,0.2574064815528012,2.293813107295843,0.10455593576981083,6032.0,6534.53333333
1,1,10,1,8,0.2452350481595548,0.9470018055197428,0.18492384450525312,6130.0,6785.4
1,1,10,1,3,0.21620230920840763,1.418506711604962,0.26144862009634895,6460.0,6945.26666667
1,1,10,1,3,0.3424439899088454,1.3148015771163026,0.15114069729601026,7302.0,8120.13333333
SET 2,,,,,,,,,
1,1,10,1,3,0.187488866784665,1.2576375924668493,0.13821615423070144,4462.0,4668.0
1,1,10,1,5,0.24119892129005077,2.025007708798976,0.2295140093815709,5038.0,5382.4
1,1,10,1,2,0.3501464805355513,2.4975078445266092,0.09390983414086425,5855.0,6261.8
1,1,10,1,2,0.19497140514061362,1.5450685966230435,0.06999600284558981,4199.0,4426.0
1,1,10,1,9,0.3346781426806822,2.0564438219132297,0.2655478668520992,6553.0,6852.6
1,1,10,1,6,0.27164829118433964,2.312636339060661,0.1455628138176019,5175.0,5653.8
SET 3,,,,,,,,,
1,1,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,4490.0,4589.6
1,1,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,3839.0,3975.8
1,1,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,4266.0,4543.6
1,1,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,5182.0,5457.0
1,1,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,4310.0,4659.4
1,1,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,3734.0,3888.4
alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res
SET 1,,,,,,,,,
1,0,10,1,5,0.2481744664252858,1.833620265760508,0.07569152099335698,12372.0,13482.4
1,0,10,1,7,0.12496110549972515,1.0204588226130094,0.14532872879728143,13262.0,14213.6
1,0,10,1,5,0.31749275919102077,2.189796460167292,0.11908492294377128,13798.0,14536.8
1,0,10,1,7,0.19576987253640127,1.1564565146156647,0.12137621690119409,13452.0,14526.0
1,0,10,1,6,0.29580527737767504,2.1406730883120133,0.0712517966615102,11594.0,13253.2
1,0,10,1,2,0.3045961150232153,1.0763409543565243,0.24911676806706984,15198.0,16264.0
1,0,10,1,7,0.2574064815528012,2.293813107295843,0.10455593576981083,11142.0,13062.8
1,0,10,1,2,0.17773719223513595,1.5007425892390436,0.2527369278766994,11282.0,12765.5333333
1,0,10,1,8,0.2452350481595548,0.9470018055197428,0.18492384450525312,11442.0,13033.7333333
1,0,10,1,9,0.16188081861893316,1.9603189244657104,0.23826703514740455,11868.0,12624.7333333
1,0,10,1,3,0.21620230920840763,1.418506711604962,0.26144862009634895,11964.0,13648.7333333
1,0,10,1,3,0.3424439899088454,1.3148015771163026,0.15114069729601026,13490.0,16158.4666667
SET 2,,,,,,,,,
1,0,10,1,3,0.187488866784665,1.2576375924668493,0.13821615423070144,9721.0,10758.8
1,0,10,1,5,0.24119892129005077,2.025007708798976,0.2295140093815709,10267.0,10817.2
1,0,10,1,2,0.3501464805355513,2.4975078445266092,0.09390983414086425,11422.0,13175.2
1,0,10,1,2,0.19497140514061362,1.5450685966230435,0.06999600284558981,11621.0,11912.0
1,0,10,1,9,0.3346781426806822,2.0564438219132297,0.2655478668520992,12664.0,13264.8
1,0,10,1,6,0.27164829118433964,2.312636339060661,0.1455628138176019,10396.0,10849.4
SET 3,,,,,,,,,
1,0,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,8662.0,8932.6
1,0,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,10814.0,11676.6
1,0,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,8863.0,9328.2
1,0,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,10362.0,10873.4
1,0,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,8308.0,8873.2
1,0,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,8962.0,9425.0
